trade_dt,s_info_windcode,trade_dt,s_dq_close
20021231,399315.SZ,20021231,1000.0
20030102,399315.SZ,20030102,973.1318
20030103,399315.SZ,20030103,972.9651
20030106,399315.SZ,20030106,985.4721
20030107,399315.SZ,20030107,983.8961
20030108,399315.SZ,20030108,1010.0816
20030109,399315.SZ,20030109,1029.1981
20030110,399315.SZ,20030110,1020.321
20030113,399315.SZ,20030113,1024.1358
20030114,399315.SZ,20030114,1071.6125
20030115,399315.SZ,20030115,1064.3184
20030116,399315.SZ,20030116,1085.5867
20030117,399315.SZ,20030117,1079.0055
20030120,399315.SZ,20030120,1082.5585
20030121,399315.SZ,20030121,1061.4194
20030122,399315.SZ,20030122,1066.4934
20030123,399315.SZ,20030123,1056.7866
20030124,399315.SZ,20030124,1073.289
20030127,399315.SZ,20030127,1087.9093
20030128,399315.SZ,20030128,1090.0323
20030129,399315.SZ,20030129,1088.1181
20030210,399315.SZ,20030210,1074.0716
20030211,399315.SZ,20030211,1086.2697
20030212,399315.SZ,20030212,1102.1357
20030213,399315.SZ,20030213,1098.0567
20030214,399315.SZ,20030214,1103.6131
20030217,399315.SZ,20030217,1096.0182
20030218,399315.SZ,20030218,1097.0153
20030219,399315.SZ,20030219,1107.8978
20030220,399315.SZ,20030220,1104.9771
20030221,399315.SZ,20030221,1080.0652
20030224,399315.SZ,20030224,1080.8045
20030225,399315.SZ,20030225,1104.0242
20030226,399315.SZ,20030226,1104.7857
20030227,399315.SZ,20030227,1102.6682
20030228,399315.SZ,20030228,1100.7522
20030303,399315.SZ,20030303,1111.3419
20030304,399315.SZ,20030304,1109.0078
20030305,399315.SZ,20030305,1103.5529
20030306,399315.SZ,20030306,1087.9575
20030307,399315.SZ,20030307,1084.0472
20030310,399315.SZ,20030310,1063.3778
20030311,399315.SZ,20030311,1063.9136
20030312,399315.SZ,20030312,1068.6844
20030313,399315.SZ,20030313,1061.9681
20030314,399315.SZ,20030314,1063.5605
20030317,399315.SZ,20030317,1063.6423
20030318,399315.SZ,20030318,1054.8689
20030319,399315.SZ,20030319,1058.726
20030320,399315.SZ,20030320,1055.6304
20030321,399315.SZ,20030321,1065.6252
20030324,399315.SZ,20030324,1066.012
20030325,399315.SZ,20030325,1053.3637
20030326,399315.SZ,20030326,1045.5348
20030327,399315.SZ,20030327,1073.4744
20030328,399315.SZ,20030328,1069.8979
20030331,399315.SZ,20030331,1080.8224
20030401,399315.SZ,20030401,1088.9001
20030402,399315.SZ,20030402,1088.0816
20030403,399315.SZ,20030403,1084.8247
20030404,399315.SZ,20030404,1088.897
20030407,399315.SZ,20030407,1078.5468
20030408,399315.SZ,20030408,1076.2239
20030409,399315.SZ,20030409,1086.6678
20030410,399315.SZ,20030410,1095.7101
20030411,399315.SZ,20030411,1113.8113
20030414,399315.SZ,20030414,1142.0017
20030415,399315.SZ,20030415,1155.1677
20030416,399315.SZ,20030416,1134.9013
20030417,399315.SZ,20030417,1140.611
20030418,399315.SZ,20030418,1140.1387
20030421,399315.SZ,20030421,1121.6385
20030422,399315.SZ,20030422,1119.2118
20030423,399315.SZ,20030423,1100.7824
20030424,399315.SZ,20030424,1071.5052
20030425,399315.SZ,20030425,1058.1146
20030428,399315.SZ,20030428,1081.8274
20030429,399315.SZ,20030429,1062.4235
20030430,399315.SZ,20030430,1063.7797
20030512,399315.SZ,20030512,1061.3049
20030513,399315.SZ,20030513,1024.9641
20030514,399315.SZ,20030514,1047.0822
20030515,399315.SZ,20030515,1077.0822
20030516,399315.SZ,20030516,1079.0221
20030519,399315.SZ,20030519,1085.1569
20030520,399315.SZ,20030520,1072.7557
20030521,399315.SZ,20030521,1073.1227
20030522,399315.SZ,20030522,1081.4431
20030523,399315.SZ,20030523,1092.2788
20030526,399315.SZ,20030526,1099.6536
20030527,399315.SZ,20030527,1101.9662
20030528,399315.SZ,20030528,1092.3822
20030529,399315.SZ,20030529,1105.3959
20030530,399315.SZ,20030530,1112.1523
20030602,399315.SZ,20030602,1113.5703
20030603,399315.SZ,20030603,1100.0984
20030604,399315.SZ,20030604,1102.6064
20030605,399315.SZ,20030605,1090.4466
20030606,399315.SZ,20030606,1077.5711
20030609,399315.SZ,20030609,1067.9322
20030610,399315.SZ,20030610,1074.8057
20030611,399315.SZ,20030611,1091.7875
20030612,399315.SZ,20030612,1088.9218
20030613,399315.SZ,20030613,1093.1647
20030616,399315.SZ,20030616,1089.6077
20030617,399315.SZ,20030617,1086.3413
20030618,399315.SZ,20030618,1083.9174
20030619,399315.SZ,20030619,1073.3059
20030620,399315.SZ,20030620,1068.6815
20030623,399315.SZ,20030623,1056.7596
20030624,399315.SZ,20030624,1058.2678
20030625,399315.SZ,20030625,1050.0643
20030626,399315.SZ,20030626,1054.7697
20030627,399315.SZ,20030627,1040.1882
20030630,399315.SZ,20030630,1031.98
20030701,399315.SZ,20030701,1027.2908
20030702,399315.SZ,20030702,1032.1431
20030703,399315.SZ,20030703,1034.2622
20030704,399315.SZ,20030704,1032.4234
20030707,399315.SZ,20030707,1030.5487
20030708,399315.SZ,20030708,1038.7742
20030709,399315.SZ,20030709,1032.9741
