trade_dt,s_info_windcode,trade_dt,s_dq_close
20041231,CI005919.WI,20041231,1000.0
20050104,CI005919.WI,20050104,987.2803
20050105,CI005919.WI,20050105,1002.1383
20050106,CI005919.WI,20050106,995.3832
20050107,CI005919.WI,20050107,1000.4967
20050110,CI005919.WI,20050110,1010.6299
20050111,CI005919.WI,20050111,1015.7685
20050112,CI005919.WI,20050112,1014.4564
20050113,CI005919.WI,20050113,1016.7443
20050114,CI005919.WI,20050114,1007.0784
20050117,CI005919.WI,20050117,987.7941
20050118,CI005919.WI,20050118,997.9947
20050119,CI005919.WI,20050119,993.5788
20050120,CI005919.WI,20050120,980.3446
20050121,CI005919.WI,20050121,997.769
20050124,CI005919.WI,20050124,1013.8481
20050125,CI005919.WI,20050125,1009.6042
20050126,CI005919.WI,20050126,1001.1667
20050127,CI005919.WI,20050127,987.0692
20050128,CI005919.WI,20050128,975.6691
20050131,CI005919.WI,20050131,949.6494
20050201,CI005919.WI,20050201,940.3992
20050202,CI005919.WI,20050202,986.6542
20050203,CI005919.WI,20050203,970.9557
20050204,CI005919.WI,20050204,986.7042
20050216,CI005919.WI,20050216,994.176
20050217,CI005919.WI,20050217,996.6595
20050218,CI005919.WI,20050218,983.8435
20050221,CI005919.WI,20050221,1000.4413
20050222,CI005919.WI,20050222,1025.1786
20050223,CI005919.WI,20050223,1033.0189
20050224,CI005919.WI,20050224,1036.1586
20050225,CI005919.WI,20050225,1037.4377
20050228,CI005919.WI,20050228,1034.9867
20050301,CI005919.WI,20050301,1035.583
20050302,CI005919.WI,20050302,1019.3976
20050303,CI005919.WI,20050303,1022.893
20050304,CI005919.WI,20050304,1017.5754
20050307,CI005919.WI,20050307,1023.3435
20050308,CI005919.WI,20050308,1043.8836
20050309,CI005919.WI,20050309,1044.9252
20050310,CI005919.WI,20050310,1023.1732
20050311,CI005919.WI,20050311,1030.8815
20050314,CI005919.WI,20050314,1032.5688
20050315,CI005919.WI,20050315,1017.9935
20050316,CI005919.WI,20050316,1006.5502
20050317,CI005919.WI,20050317,997.9333
20050318,CI005919.WI,20050318,979.8223
20050321,CI005919.WI,20050321,979.8551
20050322,CI005919.WI,20050322,957.9729
20050323,CI005919.WI,20050323,957.9588
20050324,CI005919.WI,20050324,963.7903
20050325,CI005919.WI,20050325,961.209
20050328,CI005919.WI,20050328,957.9887
20050329,CI005919.WI,20050329,951.6169
20050330,CI005919.WI,20050330,930.2554
20050331,CI005919.WI,20050331,934.9501
20050401,CI005919.WI,20050401,965.2749
